ssp,wbCtyIncClass,ldf,ldfUnit,demUnit,X2020_ref,percChange_ref,percChange_rm50LAllCty,percChange_rm100LAllCty,percChange_rm50LHiCty,percChange_rm100LHiCty,percChange_rmNegPt02HiCty
SSP2,ALL,Beef,food,perPersKg,10.9,19.9,5.3,-5.2,19.2,18.6,17.2
SSP2,HIC,Beef,food,perPersKg,24.8,6.7,10.2,12.7,3.7,1,-5.9
SSP2,LMIC,Beef,food,perPersKg,8.4,29.6,5.7,-11.9,30,30.4,31.4
SSP2,ALL,Sheep,food,perPersKg,2.5,43.7,25.4,10.6,43.3,42.9,42.2
SSP2,HIC,Sheep,food,perPersKg,2.1,27.8,42.8,57.7,21.5,15.7,5.7
SSP2,LMIC,Sheep,food,perPersKg,2.5,45.7,22.6,3.3,46.1,46.5,47.1
SSP2,ALL,Pork,food,perPersKg,15.3,-7.1,-14.9,-21.3,-8,-8.8,-10.3
SSP2,HIC,Pork,food,perPersKg,31,0,0.5,1,-4.4,-8.1,-15.5
SSP2,LMIC,Pork,food,perPersKg,12.4,-8.2,-19.7,-29.4,-7.7,-7.3,-6.5
SSP2,ALL,red meat,proteinGenus,perPersKg,4.6,10.1,-2,-11.2,9.4,8.7,7.4
SSP2,HIC,red meat,proteinGenus,perPersKg,9,4.3,6.8,8.9,0.5,-2.8,-10.1
SSP2,LMIC,red meat,proteinGenus,perPersKg,3.8,14.5,-3.7,-17.9,14.9,15.3,16.3
SSP2,ALL,Beef,food,Tot000Tons,83496.5,44.4,26.9,14.2,43.6,42.9,41.1
SSP2,HIC,Beef,food,Tot000Tons,29395.7,19.1,23,25.9,15.7,12.8,5
SSP2,LMIC,Beef,food,Tot000Tons,54100.8,58.2,29,7.5,58.7,59.1,60.5
SSP2,ALL,Sheep,food,Tot000Tons,18699.1,73.1,51.1,33.3,72.6,72.1,71.4
SSP2,HIC,Sheep,food,Tot000Tons,2524,42.7,59.4,76.1,35.6,29.2,18.1
SSP2,LMIC,Sheep,food,Tot000Tons,16175.1,77.9,49.7,26.1,78.4,78.8,79.5
SSP2,ALL,Pork,food,Tot000Tons,116508.7,11.9,2.5,-5.2,10.8,9.8,8
SSP2,HIC,Pork,food,Tot000Tons,36664.4,11.6,12.2,12.8,6.7,2.6,-5.7
SSP2,LMIC,Pork,food,Tot000Tons,79844.3,12.1,-2,-13.8,12.7,13.1,14.2
SSP2,ALL,red meat,proteinGenus,Tot000Tons,34871.9,32.6,18.1,7,31.8,31,29.4
SSP2,HIC,red meat,proteinGenus,Tot000Tons,10663.9,16.4,19.3,21.6,12.2,8.5,0.4
SSP2,LMIC,red meat,proteinGenus,Tot000Tons,24207.9,39.8,17.5,0.2,40.3,40.8,42
