FPU,CTY
ALB_ALB,ALB
ALK_USA,USA
AMA_BOL,BOL
AMA_BRA,BRA
AMA_COL,COL
AMA_ECU,ECU
AMA_PER,PER
AMD_AFG,AFG
AMD_TJK,TJK
AMD_TKM,TKM
AMD_UZB,UZB
AMR_CHM,CHM
AMR_RUS,RUS
ARA_IRQ,IRQ
ARK_USA,USA
ARM_ARM,ARM
AZE_AZE,AZE
BAL_BLT,BLT
BAL_RUS,RUS
BLA_RUS,RUS
BLA_TUR,TUR
BLA_UKR,UKR
BLZ_BLZ,BLZ
BOR_IDN,IDN
BOR_MYS,MYS
BRT_BGD,BGD
BRT_BTN,BTN
BRT_CHM,CHM
BRT_IND,IND
CAF_AGO,AGO
CAF_CAF,CAF
CAF_CMR,CMR
CAF_COG,COG
CAF_GAB,GAB
CAF_GNQ,GNQ
CAF_NAM,NAM
CAL_USA,USA
CAN_CAN,CAN
CAU_AUS,AUS
CAV_IND,IND
CHC_CHL,CHL
CHJ_CHM,CHM
CHO_IND,IND
CHU_KAZ,KAZ
CHU_KGZ,KGZ
COB_CAN,CAN
COB_USA,USA
COL_USA,USA
CON_AGO,AGO
CON_CAF,CAF
CON_COD,COD
CON_COG,COG
CRB_CRB,CRB
CRI_CRI,CRI
CUB_CUB,CUB
DAN_AUT,AUT
DAN_BGR,BGR
DAN_CZE,CZE
DAN_DEU,DEU
DAN_HRV,HRV
DAN_HUN,HUN
DAN_MDA,MDA
DAN_OBN,OBN
DAN_ROU,ROU
DAN_SVK,SVK
DAN_SVN,SVN
DAN_TUR,TUR
DAN_UKR,UKR
DNI_BLR,BLR
DNI_RUS,RUS
DNI_UKR,UKR
DOM_DOM,DOM
EAC_BDI,BDI
EAC_COD,COD
EAC_RWA,RWA
EAC_TZA,TZA
EAU_AUS,AUS
EGH_IND,IND
ELB_DEU,DEU
ELB_DNK,DNK
EME_CYP,CYP
EME_EGY,EGY
EME_ISR,ISR
EME_JOR,JOR
EME_LBN,LBN
EME_PSE,PSE
EME_SYR,SYR
EME_TUR,TUR
FJI_FJI,FJI
FNP_FNP,FNP
GAN_BGD,BGD
GAN_CHM,CHM
GAN_IND,IND
GAN_NPL,NPL
GBA_USA,USA
GEO_GEO,GEO
GLA_CAN,CAN
GLA_USA,USA
GOD_IND,IND
GRC_GRC,GRC
GRL_GRL,GRL
GSA_GSA,GSA
GTM_GTM,GTM
HAI_CHM,CHM
HND_HND,HND
HOA_ETH,ETH
HOA_KEN,KEN
HOA_SOM,SOM
HTI_HTI,HTI
HUA_CHM,CHM
HUN_CHM,CHM
HWI_USA,USA
IEC_IND,IND
IND_CHM,CHM
IND_IND,IND
IND_PAK,PAK
INE_IDN,IDN
INW_IDN,IDN
IRL_IRL,IRL
ISL_ISL,ISL
ITA_ITP,ITP
JAM_JAM,JAM
JAP_JPN,JPN
KAL_BWA,BWA
KAL_NAM,NAM
KAL_ZAF,ZAF
KRI_IND,IND
LAJ_CHM,CHM
LBA_KAZ,KAZ
LBO_FRP,FRP
LCB_CAF,CAF
LCB_CMR,CMR
LCB_NER,NER
LCB_NGA,NGA
LCB_TCD,TCD
LIM_BWA,BWA
LIM_MOZ,MOZ
LIM_ZAF,ZAF
LIM_ZWE,ZWE
LMO_CHM,CHM
LMO_MNG,MNG
LTZ_KAZ,KAZ
LUN_IND,IND
MAD_MDG,MDG
MAT_IND,IND
MAU_AUS,AUS
MCK_CAN,CAN
MEK_KHM,KHM
MEK_LAO,LAO
MEK_MMR,MMR
MEK_THA,THA
MEK_VNM,VNM
MHN_IND,IND
MIM_MEX,MEX
MIS_USA,USA
MOU_USA,USA
NAC_DZA,DZA
NAC_EGY,EGY
NAC_LBY,LBY
NAC_TUN,TUN
NEB_BRA,BRA
NER_RUS,RUS
NIC_NIC,NIC
NIG_BEN,BEN
NIG_BFA,BFA
NIG_CIV,CIV
NIG_CMR,CMR
NIG_GIN,GIN
NIG_MLI,MLI
NIG_NER,NER
NIG_NGA,NGA
NIG_TCD,TCD
NKP_PRK,PRK
NLL_DJI,DJI
NLL_EGY,EGY
NLL_ERI,ERI
NLL_ETH,ETH
NLL_SDN,SDN
NLL_SSD,SSD
NLL_UGA,UGA
NOR_NOR,NOR
NWA_MOR,MOR
NWA_MRT,MRT
NWS_COL,COL
NWS_ECU,ECU
NZE_NZL,NZL
OAO_OAO,OAO
OBB_CHM,CHM
OBB_KAZ,KAZ
OBB_RUS,RUS
ODE_DEU,DEU
ODE_POL,POL
ODE_RUS,RUS
OHI_USA,USA
OIO_OIO,OIO
OPO_OPO,OPO
ORA_LSO,LSO
ORA_NAM,NAM
ORA_ZAF,ZAF
ORI_COL,COL
ORI_VEN,VEN
PAN_PAN,PAN
PAO_PNG,PNG
PAR_ARG,ARG
PAR_BOL,BOL
PAR_BRA,BRA
PAR_PRY,PRY
PEC_PER,PER
PHI_PHL,PHL
PRT_PRT,PRT
RAP_RAP,RAP
RHI_BLX,BLX
RHI_CHP,CHP
RHI_DEU,DEU
RHI_FRP,FRP
RHI_NLD,NLD
RHO_FRP,FRP
RIC_ARG,ARG
RIG_MEX,MEX
RIG_USA,USA
RRS_RUS,RUS
RVE_VEN,VEN
RVN_VNM,VNM
RWI_CAN,CAN
RWI_USA,USA
SAC_SWZ,SWZ
SAC_ZAF,ZAF
SAF_MOZ,MOZ
SAF_TZA,TZA
SAF_ZWE,ZWE
SAH_DZA,DZA
SAH_EGY,EGY
SAH_LBY,LBY
SAH_MLI,MLI
SAH_MOR,MOR
SAH_MRT,MRT
SAH_NER,NER
SAH_SDN,SDN
SAH_TCD,TCD
SAL_ARG,ARG
SAN_BRA,BRA
SAU_SAU,SAU
SAY_IND,IND
SEI_FRP,FRP
SEN_GIN,GIN
SEN_MLI,MLI
SEN_MRT,MRT
SEN_SEN,SEN
SEU_USA,USA
SKP_KOR,KOR
SLB_SLB,SLB
SLV_SLV,SLV
SON_CHM,CHM
SPP_SPP,SPP
SRL_LKA,LKA
SWE_SWE,SWE
SYD_KAZ,KAZ
SYD_KGZ,KGZ
SYD_TJK,TJK
SYD_UZB,UZB
TIE_ARG,ARG
TIG_IRN,IRN
TIG_IRQ,IRQ
TIG_SYR,SYR
TIG_TUR,TUR
TLS_TLS,TLS
TMM_BGD,BGD
TMM_MMR,MMR
TMM_MYS,MYS
TMM_OSA,OSA
TMM_THA,THA
TOC_BRA,BRA
TWN_CHM,CHM
UKP_UKP,UKP
UME_MEX,MEX
UMO_MNG,MNG
UMO_RUS,RUS
URA_KAZ,KAZ
URA_RUS,RUS
URA_TKM,TKM
URU_BRA,BRA
URU_URY,URY
USN_USA,USA
VOG_RUS,RUS
VOT_BEN,BEN
VOT_BFA,BFA
VOT_CIV,CIV
VOT_GHA,GHA
VOT_MLI,MLI
VOT_TGO,TGO
VUT_VUT,VUT
WAC_CIV,CIV
WAC_GIN,GIN
WAC_GMB,GMB
WAC_GNB,GNB
WAC_LBR,LBR
WAC_SEN,SEN
WAC_SLE,SLE
WAI_AFG,AFG
WAI_IRN,IRN
WAI_PAK,PAK
WAI_TKM,TKM
WAU_AUS,AUS
WGM_USA,USA
YEM_YEM,YEM
YEN_RUS,RUS
YHE_CHM,CHM
YRD_CHM,CHM
YRD_VNM,VNM
YUC_MEX,MEX
ZAM_AGO,AGO
ZAM_BWA,BWA
ZAM_COD,COD
ZAM_MOZ,MOZ
ZAM_MWI,MWI
ZAM_NAM,NAM
ZAM_TZA,TZA
ZAM_ZMB,ZMB
ZAM_ZWE,ZWE
ZHJ_CHM,CHM
