reg,ldf,kcalPerKgGenus,percProtRegGenus
NAM,Beef,2909.99841213289,17.3199341564546
NAM,Eggs,1429.99823161606,12.5600728011158
NAM,Milk,473.919224346826,3.15000532446129
NAM,Pork,3759.99584693774,13.90999181757
NAM,Poultry,2149.9999082736,18.6000000738099
NAM,Sheep,1089.9868328603,16.8795248987395
EAP,Beef,1775.52855241522,18.7657846767641
EAP,Eggs,1438.99320379749,13.225630894703
EAP,Milk,553.952201553201,3.06484433558862
EAP,Pork,3931.38201406501,13.2695304506548
EAP,Poultry,1793.52734905938,19.119861230476
EAP,Sheep,1906.32679556617,18.6509441347612
EUR,Beef,2910.00119661391,17.3199630838409
EUR,Eggs,1430.00101703818,12.5600245104792
EUR,Milk,474.968898445228,3.15126923713436
EUR,Pork,3759.99970322978,13.9099755597554
EUR,Poultry,2149.99972115052,18.6000088021797
EUR,Sheep,1089.99899409253,16.8799988796108
FSU,Beef,2910.00123010171,17.3199566730805
FSU,Eggs,1429.99966346925,12.559944603759
FSU,Milk,473.972296043145,3.15006481093623
FSU,Pork,3759.99967391287,13.910029557355
FSU,Poultry,2150.00014297134,18.6000123898143
FSU,Sheep,1089.9951452018,16.8798757786531
LAC,Beef,1308.21459312146,19.4262666473777
LAC,Eggs,1539.38228253426,12.5002587618112
LAC,Milk,570.919500001037,3.27990010777047
LAC,Pork,1603.37412198841,19.4350287561156
LAC,Poultry,1736.9082575532,18.0154471278954
LAC,Sheep,1495.11162401557,18.8194662681755
MEN,Beef,2906.32651914607,17.3269237546104
MEN,Eggs,1429.91804901178,12.5601517500979
MEN,Milk,510.187081278257,3.19484468606698
MEN,Pork,3759.99837972362,13.9099704671356
MEN,Poultry,2149.43946031628,18.6014886845648
MEN,Sheep,1119.69434124246,16.8693699608213
SAS,Beef,1297.7416799197,19.3173792772334
SAS,Eggs,1540.6303890069,13.0257781926553
SAS,Milk,652.546943704053,3.28166556250951
SAS,Pork,1298.21151959288,18.6882690752662
SAS,Poultry,1456.22021145092,19.6319636202188
SAS,Sheep,1861.27165497568,18.6351265605502
SSA,Beef,2350.00251851814,18.3999557753669
SSA,Eggs,1389.99946266089,12.5998497669018
SSA,Milk,650.000022237851,3.37129569395834
SSA,Pork,2650.00844802161,16.7998546375397
SSA,Poultry,1810.00098883567,19.5000463062403
SSA,Sheep,2291.19406998545,16.4498171612028
WLD,Beef,2193.23488493597,18.2733766683715
WLD,Eggs,1452.71783251138,12.9055643679855
WLD,Milk,543.261426494152,3.19908503814448
WLD,Pork,3693.82755813596,13.9599133351401
WLD,Poultry,1926.00038081652,18.7216612305245
WLD,Sheep,1704.78656271031,17.746797293431
